ID,F1_of_all,F2_of_all,F3_of_all,F4_of_all,F5_of_all,F6_of_all,F1_of_first_five,F2_of_first_five,F3_of_first_five,F4_of_first_five,F5_of_first_five,F6_of_first_five,F1_of_the_rest,F2_of_the_rest,F3_of_the_rest,F4_of_the_rest,F5_of_the_rest,F6_of_the_rest,Mw,charge_of_all,charge_of_first_five,charge_of_the_rest,positive_charge,negative_charge,polar_number,unpolar_number,unpolar_ratio,ph_number,length,hydrophobicity,jinpu_ug_ml,jinpu_uM,dachang_ug_ml,dachang_uM
97,-0.754,0.03,-0.595,0.117,0.376,-0.669,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.545,0.029,-0.447,0.117,0.32,-0.518,1411.1,3,1,2,3,0,4,8,0.667,1,12,-0.008,5.457,7.7,2.693,3.8
98,-0.685,0.058,-0.649,0.073,0.455,-0.567,-0.605,0.155,-0.53,-0.015,0.399,-0.36,-0.636,0.033,-0.521,0.136,0.373,-0.604,1354.0,3,1,2,3,0,4,7,0.636,1,11,-0.023,33.235,45.0,36.928,50.0
99,-0.8,0.019,-0.541,0.117,0.294,-0.761,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.71,-0.05,-0.549,0.127,0.289,-0.797,1254.9,2,1,1,2,0,3,8,0.727,1,11,0.155,12.352,15.5,5.578,7.0
100,-0.777,0.022,-0.575,0.099,0.305,-0.673,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.584,0.015,-0.412,0.085,0.198,-0.525,1383.1,3,1,2,3,0,4,8,0.667,1,12,0.051,11.424,15.8,5.206,7.2
101,-0.739,0.067,-0.546,0.104,0.369,-0.554,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.519,0.092,-0.363,0.094,0.307,-0.322,1426.1,4,1,3,4,0,5,7,0.583,1,12,-0.16,70.121,100.0,19.844,28.3
102,-0.743,-0.05,-0.755,0.11,0.398,-0.618,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.526,-0.109,-0.721,0.105,0.357,-0.431,1402.1,3,1,2,3,0,4,8,0.667,1,12,-0.066,6.562,9.2,2.639,3.7
103,-0.671,0.058,-0.674,0.058,0.453,-0.494,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.403,0.076,-0.581,0.016,0.452,-0.219,1482.2,4,1,3,4,0,5,7,0.583,1,12,-0.112,2.496,3.7,1.552,2.3
104,-0.696,-0.083,-0.622,0.08,0.497,-0.525,-0.629,-0.097,-0.288,0.006,0.488,-0.159,-0.545,0.029,-0.447,0.117,0.32,-0.518,1452.2,4,2,2,4,0,4,8,0.667,1,12,-0.078,5.784,8.4,1.239,1.8
105,-0.743,0.062,-0.592,0.103,0.302,-0.67,-0.74,0.251,-0.217,0.059,0.019,-0.508,-0.545,0.029,-0.447,0.117,0.32,-0.518,1408.1,4,2,2,4,0,5,7,0.583,1,12,-0.121,16.547,23.3,2.628,3.7
106,-0.671,0.058,-0.674,0.058,0.453,-0.494,-0.568,0.243,-0.413,-0.047,0.381,-0.086,-0.545,0.029,-0.447,0.117,0.32,-0.518,1482.2,4,2,2,4,0,5,7,0.583,1,12,-0.112,28.134,41.7,4.25,6.3
